time_s,X_M_m,Y_M_m,psi_M_rad,v_M_mps,delta_R_rad
0,0.2862084649,0.08991504108,0.3043957974,0.5,0
0.1290454865,0.4293126974,0.1348725616,0.3043957974,0.5,0
0.42938447,0.5724169298,0.1798300822,0.3043957974,0.5,0
0.7283446789,0.7285595941,0.229088401,0.3079302462,0.591522054,0.1256606536
1.029431581,0.9090718715,0.2875744981,0.3201012671,0.6734907512,0.2513221127
1.328824282,1.10696912,0.3555066793,0.3428509981,0.7214215148,0.3769797068
1.628599167,1.312565031,0.4326225207,0.3763683454,0.7425320446,0.4805148951
1.928834438,1.519030847,0.5190828681,0.417553056,0.749828063,0.5278655114
2.228650093,1.722953738,0.6149258802,0.4610701641,0.7524434215,0.5223304667
2.530315399,1.923390695,0.7198070364,0.5024144495,0.7557907081,0.4805343704
2.828959942,2.120791964,0.8331536948,0.5390944494,0.7618178323,0.4197951867
3.129271746,2.316080012,0.9542807349,0.570257077,0.7702610073,0.3527355303
3.429184198,2.510235829,1.08248141,0.5959652552,0.7808661035,0.2873356823
3.729148388,2.704168599,1.217085865,0.6166733789,0.7929514275,0.2273072659
4.029027939,2.898666683,1.357463048,0.6329188534,0.8061668983,0.1736465291
4.329128027,3.094453456,1.503046965,0.6451813127,0.8203890338,0.1257373015
4.629296064,3.292273702,1.653369964,0.6538226632,0.8359824774,0.08229525941
4.928943872,3.492808745,1.807955981,0.6590473393,0.8520314231,0.04146562725
5.229162693,3.696709766,1.966289936,0.6609069734,0.8690186052,0.00187318315
5.528795004,3.904677871,2.127831041,0.6593308322,0.8865602744,-0.03764463127
5.828817844,4.117371668,2.291897807,0.6541515641,0.904240044,-0.07776516666
6.130559206,4.335483956,2.457694968,0.6451455882,0.9222586322,-0.1186664898
6.42931509,4.559757221,2.624306466,0.6320770976,0.9403442985,-0.1599892413
6.729319096,4.790915187,2.790643341,0.6147467946,0.9582401014,-0.2009743414
7.029072762,5.029687689,2.955479303,0.5930129398,0.9760876596,-0.2409338287
7.328669548,5.276805186,3.117468789,0.5668036965,0.9938268547,-0.2790251219
7.629070997,5.53249246,3.274884902,0.5362909017,1.00798154,-0.3126431746
7.928828239,5.795826213,3.425461211,0.5020557299,1.014414078,-0.3401801924
8.228832006,6.064779977,3.566762056,0.4650259333,1.011118603,-0.3608666677
8.529624462,6.337119852,3.696891316,0.4261710395,1.001222169,-0.3761914411
8.828659058,6.611358199,3.814863973,0.3860688283,0.9891565181,-0.3899356932
9.128727198,6.886817467,3.920304239,0.3447866723,0.9773159613,-0.4050965952
9.42879796,7.163249642,4.013017149,0.3020681617,0.9666017595,-0.4231043708
9.728510141,7.440524265,4.092753315,0.2575618423,0.9569691909,-0.4437042798
10.02911401,7.718443884,4.159147892,0.2110207721,0.9481385358,-0.4652513171
10.32849216,7.996714171,4.211779741,0.1624462408,0.9400732974,-0.4851082767
10.62884712,8.27494887,4.25027123,0.112192742,0.9326875881,-0.5000071696
10.92954707,8.552677842,4.274403738,0.06102363471,0.9260182745,-0.5065866312
11.22874618,8.829395569,4.284232946,0.01008013509,0.92012964,-0.5019922775
11.52877665,9.10461575,4.280171243,-0.03924916726,0.9150574826,-0.484501756
11.83077693,9.377935683,4.263014719,-0.0855450395,0.9108248397,-0.4540300476
12.1290431,9.649106067,4.233900281,-0.1275997104,0.9075017562,-0.412317057
12.42914391,9.918116938,4.194194837,-0.1646045768,0.9054373597,-0.3626594257
12.72910619,10.18518489,4.145358878,-0.1962132293,0.9046136706,-0.3091915662
13.02890682,10.45067475,4.088830695,-0.2224910891,0.9050464169,-0.2559607146
13.32964373,10.71498823,4.025954469,-0.2438050365,0.9062496455,-0.2062304822
13.62886357,10.97849263,3.957940181,-0.2607073317,0.9080429309,-0.16214661
13.92913747,11.24151994,3.88583511,-0.273837893,0.9101806866,-0.1247161485
14.2291131,11.50435432,3.810518539,-0.2838434036,0.9125782929,-0.09397272337
14.52893186,11.76723479,3.732709682,-0.2913169886,0.9151186376,-0.06923009807
14.82897472,12.03033008,3.652996926,-0.2967563404,0.9175896984,-0.04935302811
15.12849593,12.29377851,3.571856329,-0.3005424492,0.9201500228,-0.03301407982
15.42881298,12.55766735,3.489691603,-0.3029348863,0.9224134375,-0.01891630606
15.73015738,12.82177426,3.406947884,-0.3040881011,0.9226880644,-0.00608325852
16.02849555,13.08533558,3.324209649,-0.30408858,0.9189318587,0.006081128949
16.32937527,13.34714604,3.242179051,-0.3029972281,0.9101388464,0.017803054
16.62947607,13.60578843,3.161597121,-0.3008862502,0.8958925369,0.02897127059
16.92881298,13.86013462,3.08307181,-0.2978631113,0.8787218393,0.03917658123
17.22943616,14.10981344,3.006918868,-0.2941012216,0.8615062978,0.04726468821
